Year,Unemployment Rate,Crime,Percent of Police Officers in Population,Per Capita Personal Income,Imprisonment Rate,State
2017,3.7,7267,0.32,41520,598,Arkansas 
2017,4.8,5891.9,0.35,60156,328,California
2017,2.6,6139.4,0.32,55335,351,Colorado
2017,4.4,3995.8,0.26,72213,268,Connecticut
2017,4.5,5787.9,0.36,50350,420,Delaware
2017,4.3,5840.7,0.39,47869,466,Florida
2017,4.8,6434.7,0.35,44536,506,Georgia
2017,2.2,6160.1,0.26,53145,250,Hawaii
2017,3.2,3723.8,0.26,42094,447,Idaho
2017,5.0,4900.4,0.44,53943,324,Illinois
2017,3.5,5631.8,0.28,45225,389,Indiana
2017,3.1,4837.3,0.26,47458,285,Iowa
2017,3.6,6427.7,0.35,48869,332,Kansas
2017,4.8,4709.8,0.24,40999,527,Kentucky
2017,5.1,7847.6,0.45,43938,719,Louisiana
2017,3.4,3256.2,0.22,46570,134,Maine
2017,4.1,5445,0.33,60512,317,Maryland
2017,3.8,3590,0.32,68233,120,Massachusetts
2017,4.6,4499.9,0.26,46258,397,Michigan
2017,3.4,4859.6,0.27,54919,191,Minnesota
2017,5.2,6039.2,0.38,36375,619,Mississippi
2017,3.8,6728.4,0.34,45744,532,Missouri
2017,4.1,5937.4,0.29,45312,350,Montana
2017,2.9,5159.8,0.28,50663,273,Nebraska
2017,5.0,6336.6,0.33,46914,451,Nevada
2017,2.8,3161,0.29,58397,204,New Hampshire
2017,4.5,3568.6,0.46,64924,217,New Jersey
2017,6.1,9450.5,0.41,39521,344,New Mexico
2017,4.7,3741.9,0.44,65644,249,New York
2017,4.5,5818,0.34,44180,341,North Carolina
2017,2.7,4958.1,0.32,52669,226,North Dakota
2017,5.0,5433.2,0.27,46651,441,Ohio
2017,4.0,6665.3,0.33,43634,704,Oklahoma
2017,4.1,6536.5,0.26,48372,364,Oregon
2017,5.0,3925.4,0.31,53144,375,Pennsylvania
2017,4.5,3967.6,0.30,52379,170,Rhode Island
2017,4.2,7404.2,0.33,42081,386,South Carolina
2017,3.1,4619.7,0.35,49554,453,South Dakota
2017,3.7,7184.2,0.40,44950,429,Tennessee
2017,4.3,6003,0.34,47929,553,Texas
2017,3.2,6038.3,0.23,44002,206,Utah
2017,3.0,3205,0.24,51976,180,Vermont
2017,3.7,4002,0.28,55306,437,Virginia
2017,4.6,6956.2,0.21,58550,262,Washington
2017,5.2,4405.5,0.26,38644,392,West Virginia
2017,3.3,4256.5,0.32,49290,391,Wisconsin
2017,4.3,4135.9,0.37,56377,429,Wyoming
2018,3.9,6683.7,0.33,42238,418,Alabama
2018,5.9,8370.9,0.27,59420,264,Alaska
2018,4.8,6303.5,0.31,44329,560,Arizona
2018,3.7,6913.3,0.35,43233,590,Arkansas 
2018,4.3,5655.6,0.35,63557,323,California
2018,3.0,6137.7,0.33,58456,354,Colorado
2018,3.9,3776.8,0.26,76456,252,Connecticut
2018,3.7,5496,0.34,52507,411,Delaware
2018,3.6,5333.4,0.73,50070,456,Florida
2018,4.0,5800.6,0.35,46482,502,Georgia
2018,2.4,6237.8,0.37,55418,230,Hawaii
2018,2.8,3377,0.26,43901,444,Idaho
2018,4.4,4673.8,0.32,56839,314,Illinois
2018,3.4,5123.2,0.44,47149,400,Indiana
2018,2.6,3883.1,0.30,50124,298,Iowa
2018,3.3,6144.8,0.28,51471,342,Kansas
2018,4.2,4348.9,0.35,42458,525,Kentucky
2018,4.8,7627.1,0.26,46242,695,Louisiana
2018,3.1,2939.9,0.44,48905,135,Maine
2018,3.8,5004,0.22,63354,310,Maryland
2018,3.5,3202.8,0.33,71683,146,Massachusetts
2018,4.2,4205.7,0.32,48423,388,Michigan
2018,3.0,4428.4,0.26,57515,180,Minnesota
2018,4.9,5274.7,0.27,37834,627,Mississippi
2018,3.2,6298.3,0.40,47746,495,Missouri
2018,3.8,5740.8,0.34,47538,354,Montana
2018,2.9,4729.3,0.29,53263,280,Nebraska
2018,4.4,5958.7,0.28,49176,447,Nevada
2018,2.7,2843.4,0.30,61294,201,New Hampshire
2018,4.0,3225.9,0.29,68236,218,New Jersey
2018,4.9,8552.6,0.47,41609,331,New Mexico
2018,4.1,3582,0.39,68668,239,New York
2018,4.0,5743.4,0.45,46117,325,North Carolina
2018,2.5,4641.6,0.33,55452,219,North Dakota
2018,4.5,4914,0.33,48739,432,Ohio
2018,3.3,6682.1,0.29,46233,674,Oklahoma
2018,4.0,6359.1,0.33,50843,363,Oregon
2018,4.5,3591.8,0.26,56225,367,Pennsylvania
2018,4.1,3760,0.30,54850,158,Rhode Island
2018,3.4,7011.8,0.29,43702,366,South Carolina
2018,2.9,4266.7,0.33,52216,447,South Dakota
2018,3.5,6898.3,0.35,46900,387,Tennessee
2018,3.9,5556,0.41,50355,550,Texas
2018,2.9,5221.2,0.34,46320,209,Utah
2018,2.6,2910.2,0.23,54173,188,Vermont
2018,3.0,3731.4,0.30,57799,430,Virginia
2018,4.4,6515.3,0.28,62026,256,Washington
2018,5.2,3551.1,0.21,40873,377,West Virginia
2018,3.0,3710.6,0.25,51592,392,Wisconsin
2018,4.0,3994.7,0.32,60361,440,Wyoming
,,,,,,
,,,,,,
,,,,,,
,,,,,,
